team,matches,ema_goals_for,ema_goals_against,ema_points,last_date
Abkhazia,33,1.4073352996900017,0.6153419467907041,1.7299878434490163,2019-06-08 00:00:00+00:00
Afghanistan,147,0.3937617444917493,1.4026248263265413,0.6859583968040193,2026-06-10 00:00:00+00:00
Albania,398,0.6227418224920489,1.0374457061209506,0.8603515541733976,2026-06-06 00:00:00+00:00
Alderney,135,0.871493752896478,3.3456346999334854,0.5019943639570822,2022-04-23 00:00:00+00:00
Algeria,620,2.108667609822721,1.2272197073891502,1.9403243688785727,2026-06-28 02:00:00+00:00
Ambazonia,6,0.6934746828320004,2.4012551532320003,0.4467415110560001,2007-06-07 00:00:00+00:00
American Samoa,55,0.6699743258210747,5.733462979450279,0.1423787829334097,2026-03-28 00:00:00+00:00
Andalusia,13,2.250301276019733,0.972693658440004,2.4194795570221967,2013-06-07 00:00:00+00:00
Andorra,229,0.4291724339359484,1.5922545555393612,0.6398702284153259,2026-06-07 00:00:00+00:00
Angola,415,1.344426435822248,0.86878800312965,1.4404435431298657,2026-06-09 00:00:00+00:00
Anguilla,91,0.8268558975231421,2.8848063626876383,0.8264945476683537,2026-03-29 00:00:00+00:00
Antigua and Barbuda,231,0.4126638237679211,2.1383639372653684,0.3184588622433417,2025-11-18 00:00:00+00:00
Arameans Suryoye,10,1.6695317499789664,1.3759431029472309,1.6204960578607446,2014-06-08 00:00:00+00:00
Argentina,1072,2.669277928410984,0.3140276066925387,2.8514618002318306,2026-06-28 02:00:00+00:00
Armenia,272,0.8534913766776102,2.4171320385591555,0.5748343211345277,2026-06-09 00:00:00+00:00
Artsakh,11,2.439672765448495,1.215993834205384,1.968480303278036,2019-06-08 00:00:00+00:00
Aruba,152,1.7508086239920568,1.952016600936584,1.4529320244794788,2026-06-06 00:00:00+00:00
Asturias,1,1.5650000000000002,1.205,1.5650000000000002,1923-02-25 00:00:00+00:00
Australia,584,1.0130240727248805,0.8412791135204023,1.3706428957876544,2026-06-26 02:00:00+00:00
Austria,863,2.1295145510770705,1.222154692513747,1.8800413692576063,2026-06-28 02:00:00+00:00
Aymara,2,0.9881,1.4633000000000005,0.8405000000000001,2022-06-19 00:00:00+00:00
Azerbaijan,310,1.3191989552049836,1.791653690800479,1.0548808476091664,2026-06-09 00:00:00+00:00
Bahamas,67,0.7779604057352701,3.656418559438216,0.2014989731467721,2026-03-29 00:00:00+00:00
Bahrain,584,0.9958191362534776,1.8341369194134591,0.8696272205891012,2026-06-05 00:00:00+00:00
Bangladesh,305,1.1693472867983234,1.4746181794636424,1.42845128205493,2026-06-05 00:00:00+00:00
Barawa,12,0.8525347023288524,4.179327339308054,0.6143489805280774,2019-05-25 00:00:00+00:00
Barbados,302,1.500787998410051,2.375389679175308,0.7010719318105223,2026-03-29 00:00:00+00:00
Basque Country,64,2.13143700285643,0.7668581462413693,2.18934694973302,2025-11-15 00:00:00+00:00
Belarus,315,1.749526498710301,1.5584450307638296,1.643336822002978,2026-06-09 00:00:00+00:00
Belgium,856,2.8449730187113254,0.6884733955378393,2.0849082874588136,2026-06-27 03:00:00+00:00
Belize,121,1.7134120804802724,2.3174822771055,1.068369761942472,2026-03-30 00:00:00+00:00
Benin,325,0.8693603295989265,1.8643688020442224,1.22031773743493,2026-06-09 00:00:00+00:00
Bermuda,198,1.3642531459446996,2.5273965588017475,1.012712392823846,2026-06-06 00:00:00+00:00
Bhutan,110,0.3680483939634273,3.227824012045515,0.3052055114458507,2026-06-04 00:00:00+00:00
Biafra,3,1.0168100000000002,0.8102420000000001,1.6720100000000002,2022-05-25 00:00:00+00:00
Bolivia,534,0.734341770808854,2.254532526934196,0.8164526339761746,2026-06-10 00:00:00+00:00
Bonaire,44,0.8973484252987608,2.2383197725703003,0.6179468068140124,2026-06-06 00:00:00+00:00
Bosnia and Herzegovina,286,1.546155639876852,1.4403451993503975,1.380711560757618,2026-06-24 19:00:00+00:00
Botswana,332,0.5396451047185644,1.7325827167611547,0.8582179529000663,2026-03-31 00:00:00+00:00
Brazil,1063,2.39957014423684,0.8245790826132877,2.3899674730207567,2026-06-29 17:00:00+00:00
British Virgin Islands,123,1.709458518490671,1.4426030222644048,1.509805875676533,2026-06-06 00:00:00+00:00
Brittany,12,1.243718946301634,1.0427500009373774,1.7104134404377895,2013-05-28 00:00:00+00:00
Brunei,137,0.4623957335258791,3.092378927046306,0.6736335509259441,2025-11-18 00:00:00+00:00
Bulgaria,736,1.7936778794274106,1.878910925830957,1.1891212266211038,2026-06-05 00:00:00+00:00
Burkina Faso,464,1.6763100070650814,1.415798135577838,1.4427610548761196,2026-06-09 00:00:00+00:00
Burundi,218,0.4053889144092549,1.9358080333960423,0.4901784050101749,2026-05-26 00:00:00+00:00
Cambodia,295,1.78004123938737,1.2056217972913323,1.4150581819387602,2026-06-09 00:00:00+00:00
Cameroon,616,1.1148987533790655,0.7634311996694088,1.6865866290991882,2026-03-31 00:00:00+00:00
