live_team_name,historical_team_name,resolved
Algeria,Algeria,True
Argentina,Argentina,True
Australia,Australia,True
Austria,Austria,True
Belgium,Belgium,True
Bosnia-Herzegovina,Bosnia and Herzegovina,True
Brazil,Brazil,True
Canada,Canada,True
Cape Verde Islands,Cape Verde,True
Colombia,Colombia,True
Congo DR,DR Congo,True
Croatia,Croatia,True
Curaçao,Curaçao,True
Czechia,Czech Republic,True
Ecuador,Ecuador,True
Egypt,Egypt,True
England,England,True
France,France,True
Germany,Germany,True
Ghana,Ghana,True
Haiti,Haiti,True
Iran,Iran,True
Iraq,Iraq,True
Ivory Coast,Ivory Coast,True
Japan,Japan,True
Jordan,Jordan,True
Mexico,Mexico,True
Morocco,Morocco,True
Netherlands,Netherlands,True
New Zealand,New Zealand,True
Norway,Norway,True
Panama,Panama,True
Paraguay,Paraguay,True
Portugal,Portugal,True
Qatar,Qatar,True
Saudi Arabia,Saudi Arabia,True
Scotland,Scotland,True
Senegal,Senegal,True
South Africa,South Africa,True
South Korea,South Korea,True
Spain,Spain,True
Sweden,Sweden,True
Switzerland,Switzerland,True
Tunisia,Tunisia,True
Turkey,Turkey,True
United States,United States,True
Uruguay,Uruguay,True
Uzbekistan,Uzbekistan,True
