team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.67695,0.3488,0.14635,0.0,0.0,0.0,0.3230499999999999,0.32815,0.20245,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,70.97,1,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,65.38,5.590000000000003,8.550015295197314
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.78735,0.6022,0.4529,0.31435,0.0,0.0,0.21265,0.18515,0.1492999999999999,0.13855,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,69.3,2,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,68.45,0.8499999999999943,1.2417823228633955
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.32305,0.1484,0.0585,0.0,0.0,0.0,0.6769499999999999,0.17465,0.0899,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,59.56,3,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,51.79,7.770000000000003,15.002896312029357
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.61335,0.43705,0.2805,0.13575,0.0,0.0,0.38665,0.1762999999999999,0.1565499999999999,0.14475,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,57.25,4,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,49.77,7.479999999999997,15.029134016475782
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.58835,0.4082,0.14545,0.0844,0.0,0.0,0.4116499999999999,0.18015,0.26275,0.0610499999999999,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,53.38,5,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,53.65,-0.269999999999996,-0.50326188257222
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.75795,0.2458,0.12215,0.05405,0.0,0.0,0.24205,0.51215,0.12365,0.0681,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,52.72,6,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,48.45,4.269999999999996,8.813209494324036
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.5468,0.22955,0.09095,0.0488,0.0,0.0,0.4532,0.3172499999999999,0.1386,0.04215,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,47.62,7,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,47.75,-0.13000000000000256,-0.2722513089005289
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.41165,0.26125,0.10535,0.0589,0.0,0.0,0.5883499999999999,0.1504,0.1558999999999999,0.04645,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,45.92,8,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,46.32,-0.3999999999999986,-0.8635578583765081
United States,D,1897.342440179041,1.0,0.0,0.0,0.0,1.0,1.0,0.5367,0.1718,0.05735,0.0142,0.0,0.0,0.4633,0.3648999999999999,0.11445,0.0431499999999999,12,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,45.24,9,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,45.88,-0.6400000000000006,-1.3949433304272025
Portugal,K,2055.531279189894,0.0,1.0,0.0,0.0,1.0,1.0,0.38665,0.23255,0.10515,0.03755,0.0,0.0,0.6133500000000001,0.1541,0.1274,0.0676,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,44.52,10,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,38.87,5.650000000000006,14.535631592487796
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.4633,0.1586,0.0598,0.0158,0.0,0.0,0.5367,0.3046999999999999,0.0988,0.044,11,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,43.57,11,2026-07-05 12:22:08.457878+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,44.22,-0.6499999999999986,-1.4699231117141534
