team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.9582,0.7782,0.49445,0.3956,0.2873,0.0,0.0417999999999999,0.18,0.28375,0.09885,0.1083,1,65.07,1,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,64.74,0.3299999999999983,0.5097312326227963
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.8266,0.63775,0.4199,0.24245,0.11565,0.0,0.1734,0.1888499999999999,0.21785,0.17745,0.1268,3,53.92,2,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,54.1,-0.17999999999999972,-0.33271719038816955
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.77245,0.57695,0.42995,0.28885,0.15135,0.0,0.22755,0.1955,0.1469999999999999,0.1411,0.1374999999999999,2,53.33,3,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,53.07,0.259999999999998,0.48991897493875636
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.88665,0.63425,0.29595,0.17205,0.0851,0.0,0.1133499999999999,0.2524,0.3383,0.1238999999999999,0.08695,5,50.76,4,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,50.76,0.0,0.0
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.83445,0.56865,0.39605,0.157,0.09525,0.0,0.1655499999999999,0.2658,0.1725999999999999,0.23905,0.06175,4,50.59,5,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.22,-1.6299999999999955,-3.1214094216775097
Brazil,C,2070.1231402790586,1.0,0.0,0.0,0.0,1.0,0.59705,0.3688,0.17915,0.0696,0.0402,0.0,0.40295,0.2282499999999999,0.18965,0.10955,0.0293999999999999,6,36.56,6,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,36.88,-0.3200000000000003,-0.8676789587852501
Mexico,A,1988.196208319044,1.0,0.0,0.0,0.0,1.0,0.67365,0.2949,0.18205,0.0633,0.0341,0.0,0.32635,0.37875,0.11285,0.11875,0.0291999999999999,7,36.1,7,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.7,0.3999999999999986,1.1204481792717047
Germany,E,1979.200396172908,1.0,0.0,0.0,0.0,1.0,0.8107,0.2642,0.1317,0.04955,0.0152,0.0,0.1893,0.5465,0.1324999999999999,0.08215,0.03435,13,36.05,8,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.64,0.4099999999999966,1.1503928170594742
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.6939,0.33605,0.12625,0.05325,0.01335,0.0,0.3061,0.3578499999999999,0.2098,0.073,0.0399,14,35.65,9,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.59,0.05999999999999517,0.1685866816521359
Netherlands,F,2032.8108614565144,1.0,0.0,0.0,0.0,1.0,0.5114,0.36045,0.1889,0.0794,0.02635,0.0,0.4886,0.1509499999999999,0.1715499999999999,0.1095,0.05305,9,35.24,10,2026-06-28 17:55:49.068268+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,35.22,0.020000000000003126,0.05678591709256992
