team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.94825,0.8163,0.62845,0.45185,0.3376,0.0,0.05174999999999996,0.13195,0.18785000000000007,0.17659999999999998,0.11424999999999996,1,69.96,1,65.29,4.6699999999999875,7.152703323633002,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.6322,0.4626,0.238,0.09325,0.0,0.0,0.3678,0.16959999999999997,0.22460000000000002,0.14475,4,56.86,2,46.09,10.769999999999996,23.367324799305695,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.9125,0.63595,0.34285,0.1697,0.1128,0.0,0.08750000000000002,0.27654999999999996,0.2931,0.17315,0.05689999999999999,3,52.5,3,55.34,-2.8400000000000034,-5.131911817853276,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.76975,0.54555,0.406,0.29805,0.14905,0.0,0.23024999999999995,0.22420000000000007,0.13954999999999995,0.10795000000000005,0.149,2,52.28,4,53.47,-1.1899999999999977,-2.225547035720961,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8386,0.55145,0.31335,0.11425,0.06875,0.0,0.1614,0.28715,0.23809999999999998,0.1991,0.0455,5,47.62,5,49.85,-2.230000000000004,-4.473420260782355,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8903,0.5711,0.2014,0.10015,0.0502,0.0,0.10970000000000002,0.31919999999999993,0.36970000000000003,0.10124999999999999,0.04995,6,46.06,6,50.28,-4.219999999999999,-8.39299920445505,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.52535,0.1797,0.065,0.017,0.0,0.0,0.47465,0.34565,0.1147,0.048,10,45.33,7,38.64,6.689999999999998,17.313664596273284,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Paraguay,D,1910.0130491359168,0.0,0.0,1.0,1.0,1.0,1.0,0.47465,0.16735,0.04615,0.00825,0.0,0.0,0.52535,0.3073,0.1212,0.037899999999999996,16,43.66,8,33.27,10.389999999999993,31.22933573790199,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.81325,0.5028,0.18625,0.089,0.01865,0.0,0.18674999999999997,0.31045,0.31655,0.09725,0.07035,9,42.59,9,35.67,6.920000000000002,19.40005606952622,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Portugal,K,2032.543892649518,0.0,1.0,0.0,0.0,1.0,0.6797,0.28555,0.1762,0.0989,0.0306,0.0,0.32030000000000003,0.39414999999999994,0.10935000000000003,0.0773,0.0683,7,36.37,10,34.57,1.7999999999999972,5.206826728377197,2026-06-29T23:45:50.240461+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
