team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,previous_price,price_change,price_change_percent,generated_at_utc,model_version,bracket_mode
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.7739,0.5005,0.3583,0.2665,0.0,0.0,0.22609999999999997,0.2734000000000001,0.14219999999999994,0.09179999999999999,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,64.86,1,69.53,-4.670000000000002,-6.716525240903209,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
England,L,2126.829431538445,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.41745,0.1888,0.1272,0.0,0.0,0.0,0.58255,0.22865,0.06159999999999999,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,63.09,2,54.32,8.770000000000003,16.145066273932258,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3101,0.15195,0.1038,0.0,0.0,0.0,0.6899,0.15814999999999999,0.04815,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,60.04,3,70.89,-10.850000000000001,-15.305402736634225,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2301,0.1127,0.04515,0.0,0.0,0.0,0.7699,0.1174,0.06755,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.97,4,59.8,-2.8299999999999983,-4.732441471571904,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.5708,0.4224,0.31,0.14655,0.0,0.0,0.4292,0.14839999999999998,0.1124,0.16344999999999998,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.71,5,57.01,-0.29999999999999716,-0.5262234695667377,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Norway,I,2012.305247618376,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2194,0.0831,0.0217,0.0,0.0,0.0,0.7806,0.13630000000000003,0.061399999999999996,10,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,55.96,6,57.05,-1.0899999999999963,-1.910604732690616,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.5885,0.28135,0.13035,0.0668,0.0,0.0,0.4115,0.30715000000000003,0.151,0.06355,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.35,7,53.06,-2.710000000000001,-5.107425555974371,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Mexico,A,1992.6907704482294,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,30.0,15.12,45.12,floor 30.00; record 4-0-1; GD +7; group score 1.00; Elo score 0.97; loss quality 0.85; market signal 0.83; capped below 50.00,True,45.12,8,46.62,-1.5,-3.217503217503218,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Brazil,C,2052.315735183412,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14,30.0,14.34,44.34,floor 30.00; record 3-1-1; GD +6; group score 1.00; Elo score 0.98; loss quality 0.84; market signal 0.72; capped below 50.00,True,44.34,9,44.36,-0.01999999999999602,-0.04508566275923359,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.3989,0.15695,0.0831,0.0229,0.0,0.0,0.6011,0.24194999999999997,0.07385000000000001,0.06019999999999999,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,42.71,10,43.59,-0.8800000000000026,-2.0188116540490997,2026-07-06T04:10:00.458849+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment
