team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Spain,H,2219.3428702800225,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.45305,0.3498,0.1772,0.0,0.0,0.0,0.54695,0.10325,0.1726,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,66.97,1,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,75.03,-8.060000000000002,-10.742369718779157
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.7691,0.50175,0.3594,0.256,0.0,0.0,0.2309,0.26735,0.14235,0.1033999999999999,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,64.65,2,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,68.93,-4.280000000000001,-6.20919773683447
England,L,2126.829431538445,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.44035,0.2006,0.12985,0.0,0.0,0.0,0.55965,0.23975,0.07075,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,63.76,3,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,73.41,-9.649999999999999,-13.145348045225445
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2919,0.13755,0.08945,0.0,0.0,0.0,0.7081,0.15435,0.0481,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,59.24,4,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,69.83,-10.589999999999996,-15.165401689818124
Belgium,G,2017.5466101636707,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.23855,0.1388,0.04585,0.0,0.0,0.0,0.76145,0.09975,0.09295,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,57.54,5,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,43.07,14.469999999999999,33.59647086138844
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2317,0.10715,0.0412,0.0,0.0,0.0,0.7683,0.12455,0.06595,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,56.86,6,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,59.19,-2.3299999999999983,-3.9364757560398687
Norway,I,2012.305247618376,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2185,0.07395,0.0197,0.0,0.0,0.0,0.7815,0.14455,0.05425,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,55.77,7,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,55.47,0.30000000000000426,0.5408328826392722
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.59675,0.28415,0.13245,0.06475,0.0,0.0,0.40325,0.3126,0.1517,0.0677,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,50.58,8,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,52.61,-2.030000000000001,-3.8585820186276396
Mexico,A,1992.6907704482287,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,30.0,14.97,44.97,floor 30.00; record 4-0-1; GD +7; group score 1.00; Elo score 0.96; loss quality 0.85; market signal 0.75; capped below 50.00,True,44.97,9,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,44.98,-0.00999999999999801,-0.022232103156954227
Brazil,C,2052.315735183412,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,30.0,14.35,44.35,floor 30.00; record 3-1-1; GD +6; group score 1.00; Elo score 0.98; loss quality 0.84; market signal 0.72; capped below 50.00,True,44.35,10,2026-07-07 08:58:39.800954+00:00,phase9b_adaptive_prediction_v1,provisional_constraint_assignment,44.35,0.0,0.0
