team,group,fixture_status,confirmed_slot,round_32_match_id,current_group_position,group_complete,prob_reach_round_32,prob_eliminated,most_likely_opponent,most_likely_opponent_probability_unconditional,most_likely_opponent_probability_given_qualification,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_finish_4th_group,number_of_simulations,generated_at_utc,model_version,bracket_mode
Algeria,J,projected,,,3,False,0.83985,0.16015000000000001,Spain,0.2773,0.33017800797761504,0.0,0.3254,0.6746,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Argentina,J,projected,,,1,False,1.0,0.0,Cape Verde Islands,0.49495,0.49495,1.0,0.0,0.0,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Australia,D,projected,,,2,False,0.96105,0.03895000000000004,Belgium,0.3435,0.3574215701576401,0.0,0.66525,0.33475,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Austria,J,projected,,,2,False,0.965,0.03500000000000003,Spain,0.5792,0.6002072538860104,0.0,0.6746,0.3254,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Belgium,G,projected,,,3,False,0.82085,0.17915000000000003,Australia,0.3435,0.41846866053481147,0.16345,0.51445,0.16695,0.15515,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Bosnia-Herzegovina,B,projected,,,3,False,0.47275,0.52725,United States,0.3246,0.686620835536753,0.0,0.0001,0.7497,0.2502,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Brazil,C,projected,,,1,False,1.0,0.0,Netherlands,0.3711,0.3711,0.56995,0.2533,0.17675,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Canada,B,projected,,,1,False,1.0,0.0,South Korea,0.25365,0.25365,0.6908,0.3091,0.0001,0.0,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Cape Verde Islands,H,projected,,,3,False,0.62345,0.37655000000000005,Argentina,0.49495,0.7938888443339482,0.0161,0.49495,0.2092,0.27975,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
Colombia,K,projected,,,1,False,0.99175,0.00824999999999998,Ghana,0.3314,0.33415679354676076,0.7011,0.2111,0.08155,0.00625,20000,2026-06-23T06:14:56.294682+00:00,phase7_automated_group_stage_v1,provisional_constraint_assignment
