team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,exit_stage_floor,performance_premium,adjusted_settlement_value,settlement_reason,is_eliminated,generated_at_utc,model_version,bracket_mode
Argentina,J,2205.741574215096,1.0,0.0,0.0,0.0,1.0,1.0,0.7857,0.595,0.44285,0.3133,0.0,0.0,0.21430000000000005,0.19069999999999998,0.15214999999999995,0.12955,1,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Spain,H,2201.234819062272,1.0,0.0,0.0,0.0,1.0,1.0,0.61335,0.43345,0.2873,0.13895,0.0,0.0,0.38665000000000005,0.17989999999999995,0.14615,0.14835,2,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
France,I,2184.7810048241463,1.0,0.0,0.0,0.0,1.0,1.0,0.82965,0.55625,0.2922,0.1224,0.0,0.0,0.17035,0.2734,0.26405,0.1698,3,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
England,L,2097.7828564254537,1.0,0.0,0.0,0.0,1.0,1.0,0.579,0.40115,0.14735,0.08755,0.0,0.0,0.42100000000000004,0.17784999999999995,0.2538,0.059800000000000006,4,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Morocco,C,2076.610806403796,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.39775,0.18295,0.0713,0.0,0.0,0.0,0.60225,0.2148,0.11165,5,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Mexico,A,2021.7373455612208,1.0,0.0,0.0,0.0,1.0,1.0,0.421,0.26875,0.10835,0.05885,0.0,0.0,0.579,0.15225,0.1604,0.0495,6,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Colombia,K,2070.714685588958,1.0,0.0,0.0,0.0,1.0,1.0,0.7633,0.25195,0.12285,0.05465,0.0,0.0,0.23670000000000002,0.51135,0.1291,0.06820000000000001,7,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.55065,0.2298,0.0891,0.0478,0.0,0.0,0.44935,0.32084999999999997,0.1407,0.041299999999999996,8,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Portugal,K,2055.531279189894,0.0,1.0,0.0,0.0,1.0,1.0,0.38665,0.2336,0.1078,0.0388,0.0,0.0,0.6133500000000001,0.15305,0.1258,0.069,9,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Switzerland,B,1993.3526382281264,1.0,0.0,0.0,0.0,1.0,1.0,0.2143,0.10805,0.05165,0.02245,0.0,0.0,0.7857000000000001,0.10625,0.05639999999999999,0.0292,10,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
Belgium,G,1965.527949971616,1.0,0.0,0.0,0.0,1.0,1.0,0.46015,0.16155,0.0593,0.01475,0.0,0.0,0.5398499999999999,0.2986,0.10225000000000001,0.04455,11,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
United States,D,1897.342440179041,1.0,0.0,0.0,0.0,1.0,1.0,0.53985,0.1714,0.0579,0.01345,0.0,0.0,0.46014999999999995,0.36845000000000006,0.11349999999999999,0.04445,12,,0.0,,Active; price uses simulated expected value until the team's tournament outcome is locked.,False,2026-07-05T05:42:56.338396+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression
